id,cluster
1,10
2,3
3,6
4,4
13,18
14,3
15,11
16,0
17,7
18,18
19,10
20,5
21,9
22,5
23,6
24,5
25,15
26,7
27,18
28,10
29,9
30,4
31,10
32,13
33,10
34,2
35,18
36,15
37,13
38,12
39,10
40,2
41,12
42,15
43,0
44,10
45,0
46,10
47,14
48,6
49,18
50,5
51,5
52,10
53,10
54,11
55,17
56,6
57,15
58,10
59,0
60,10
61,19
62,2
63,4
64,7
65,7
66,15
67,4
68,10
69,10
70,10
71,10
72,5
73,17
74,14
75,18
76,4
77,4
78,15
79,6
80,8
81,0
82,10
83,10
84,13
85,17
86,0
87,8
88,3
89,3
90,3
91,2
92,0
93,2
94,3
95,3
96,3
97,3
98,1
99,1
100,1
101,18
102,1
103,1
104,18
105,1
106,1
107,1
108,16
109,14
110,0
111,19
112,0
113,10
114,14
115,18
116,11
117,4
118,14
119,10
120,11
121,14
122,14
123,9
124,9
125,10
126,14
127,10
128,0
